sitio,ponto,data,especie,individuo,abund_50,abund_L,altura,comp_raiz,comp_folha,larg_folha,comp_peciolo,larg_caule,grau_herbivoria
Guaraguacu,M2,abr./16,Hymenachne_amplexicaulis,3,4,4,91,20,18.5,3,NA,0.4,0
Guaraguacu,M2,abr./16,Lemna_sp,1,1,1,0,1.3,0.3,0.15,NA,NA,0
Guaraguacu,M2,abr./16,Ludwigia_peruviana,1,1,3,42,43,5.5,2.4,0.7,0.5,1
Guaraguacu,M2,abr./16,Ludwigia_peruviana,2,1,3,43,46,5.5,2.7,0.4,0.6,2
Guaraguacu,M2,abr./16,Ludwigia_peruviana,3,1,3,60,48,5.7,2.7,0.45,0.5,1
Guaraguacu,M2,abr./16,Myriophyllum_aquaticum,2,1,1,3.1,14.5,1.5,0.6,0.35,0.3,0
Guaraguacu,M2,abr./16,Myriophyllum_aquaticum,3,1,1,3.5,7.5,1.3,0.5,0.35,0.15,0
Guaraguacu,M2,abr./16,Myriophyllum_aquaticum,,1,1,3.7,13.5,1,0.5,0.2,0.4,0
Guaraguacu,M2,abr./16,Polygonum_hydropiperoides,1,1,1,10,6,6.5,1.8,0.5,0.3,2
Guaraguacu,M2,abr./16,Polygonum_hydropiperoides,2,1,1,43,17.5,7.5,2.1,0.9,0.3,3
Guaraguacu,M2,abr./16,Polygonum_hydropiperoides,3,1,1,51,22,11,2.6,1,0.3,2
Guaraguacu,M2,abr./16,Rhyncosphora_sp,1,4,5,103,NA,103,1.8,NA,NA,1
Guaraguacu,M2,abr./16,Rhyncosphora_sp,2,4,4,70,NA,70,1.5,NA,NA,3
Guaraguacu,M2,abr./16,Rhyncosphora_sp,3,4,4,115,NA,115,1.5,NA,NA,3
Guaraguacu,M2,abr./16,Salvinia_auriculata,1,1,4,0.4,12,1.7,1.5,0.6,0.1,3
Guaraguacu,M2,abr./16,Salvinia_auriculata,2,1,3,0.7,7.5,1.9,1.55,0.5,0.15,1
Guaraguacu,M2,abr./16,Salvinia_auriculata,3,1,3,0.8,6.5,1.8,1.5,0.35,0.1,2
Guaraguacu,M2,abr./16,Salvinia_biloba,1,1,1,0.2,3.4,0.85,0.6,0.25,15,2
Guaraguacu,M2,abr./16,Salvinia_biloba,2,1,1,0.4,3.8,1.1,0.95,0.3,0.05,3
Guaraguacu,M2,abr./16,Salvinia_minima,1,1,1,0.1,0.5,0.5,0.4,0.15,0.01,2
Guaraguacu,M2,abr./16,Urochloa_arrecta,1,1,1,26,5.3,7.5,1.8,NA,0.3,1
Guaraguacu,M2,abr./16,Urochloa_arrecta,2,1,2,62,52,6.4,1.55,NA,0.5,5
Guaraguacu,M2,abr./16,Urochloa_arrecta,3,1,1,69,39.5,6.7,1.9,NA,0.4,3
Guaraguacu,M3,abr./16,Alternanthera_limosa,1,1,1,3.5,6.5,3.3,1.4,0.45,0.4,2
Guaraguacu,M3,abr./16,Alternanthera_limosa,2,1,1,6,6.2,2.9,1.35,0.5,0.35,3
Guaraguacu,M3,abr./16,Alternanthera_limosa,3,1,1,8.5,7.5,3.4,1.2,0.3,0.35,3
Guaraguacu,M3,abr./16,Crinum_americanum,1,3,2,52,NA,52,3.4,NA,NA,1
Guaraguacu,M3,abr./16,Crinum_americanum,2,3,5,90,NA,90,3.7,NA,NA,2
Guaraguacu,M3,abr./16,Crinum_americanum,3,3,5,160,NA,160,5.2,NA,NA,2
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Guaraguacu,M3,abr./16,Hymenachne_amplexicaulis,1,2,2,40,14,14.3,2.35,NA,0.6,0
Guaraguacu,M3,abr./16,Hymenachne_amplexicaulis,2,2,2,50,24.5,18,2.9,NA,0.6,2
Guaraguacu,M3,abr./16,Hymenachne_amplexicaulis,3,2,1,52,19.3,19.2,3.1,NA,0.5,1
Guaraguacu,M3,abr./16,Ludwigia_peruviana,1,1,4,13,19.2,6.5,2.5,0.5,0.5,1
Guaraguacu,M3,abr./16,Ludwigia_peruviana,2,1,4,32,6.5,3,1.4,0.3,0.3,2
Guaraguacu,M3,abr./16,Polygonum_hydropiperoides,1,1,2,28,14.6,6,1.1,0.3,0.35,2
Guaraguacu,M3,abr./16,Polygonum_hydropiperoides,2,1,2,45,8,7,1.9,0.9,0.3,1
Guaraguacu,M3,abr./16,Polygonum_hydropiperoides,3,1,2,99,28,10.6,2.5,0.7,0.35,2
Guaraguacu,M3,abr./16,Rhyncosphora_sp,1,1,5,55,NA,55,1.3,NA,NA,3
Guaraguacu,M3,abr./16,Rhyncosphora_sp,2,1,5,100,NA,100,1.8,NA,NA,4
Guaraguacu,M3,abr./16,Rhyncosphora_sp,3,1,4,100,NA,100,1.6,NA,NA,3
Guaraguacu,M3,abr./16,Urochloa_arrecta,1,3,5,36,15,4.75,1.6,NA,0.25,3
Guaraguacu,M3,abr./16,Urochloa_arrecta,2,3,5,39,30.3,5,1.9,NA,0.3,2
Guaraguacu,M3,abr./16,Urochloa_arrecta,3,3,5,62,11.6,6,1.8,NA,0.35,2
Guaraguacu,M4,abr./16,Apalanthe_sp,1,1,5,34,13.5,1.2,0.1,NA,0.05,0
Guaraguacu,M4,abr./16,Apalanthe_sp,2,1,5,41.5,13.5,1,0.1,NA,0.15,0
Guaraguacu,M4,abr./16,Apalanthe_sp,3,1,5,77,14.5,1.1,0.1,NA,0.05,0
Guaraguacu,M4,abr./16,Cyperus_giganteus,1,5,4,98,11,222,1.4,NA,NA,1
Guaraguacu,M4,abr./16,Cyperus_giganteus,2,5,4,171,19.5,244,2,NA,NA,0
Guaraguacu,M4,abr./16,Cyperus_giganteus,3,5,5,180,26,235,1.8,NA,NA,1
Guaraguacu,M4,abr./16,Eichhornia_crassipes,1,1,1,17,20,4.5,4.4,10.5,1,5
Guaraguacu,M4,abr./16,Eichhornia_crassipes,2,1,1,27,23,5.6,5.5,20,1.1,4
Guaraguacu,M4,abr./16,Eichhornia_crassipes,3,1,3,30.5,36.5,7.4,6.8,21,1.5,5
Guaraguacu,M4,abr./16,Ludwigia_peruviana,1,3,4,31,50,4.7,3.1,0.7,0.6,4
Guaraguacu,M4,abr./16,Ludwigia_peruviana,2,3,5,60,39.5,8.8,3.6,0.6,0.6,2
Guaraguacu,M4,abr./16,Ludwigia_peruviana,3,3,4,70,61,8.1,5.4,1.15,0.5,3
Guaraguacu,M4,abr./16,Nymphaea_sp,1,5,5,0.1,NA,32.5,30.5,88,NA,3
Guaraguacu,M4,abr./16,Nymphaea_sp,2,5,5,0.1,NA,31,34.5,123,NA,2
Guaraguacu,M4,abr./16,Nymphaea_sp,3,5,5,0.1,NA,30.5,28.5,163,NA,2
Guaraguacu,M4,abr./16,Oxycaryum_cubense,1,2,4,30,15.5,49,0.7,NA,0.3,1
Guaraguacu,M4,abr./16,Oxycaryum_cubense,2,2,3,50,10.5,33.4,0.6,NA,0.5,0
Guaraguacu,M4,abr./16,Oxycaryum_cubense,3,2,3,55,16,54.5,0.7,NA,0.6,2
Guaraguacu,M4,abr./16,Polygonum_punctatum,1,1,1,1,92.1,8.7,1.9,NA,0.4,4
Guaraguacu,M4,abr./16,Polygonum_punctatum,2,1,1,10,NA,9.5,2,NA,0.5,2
Guaraguacu,M4,abr./16,Salvinia_biloba,1,1,1,0.1,3,1.4,1,0.35,0.05,2
Guaraguacu,M4,abr./16,Salvinia_biloba,2,1,1,0.2,1.2,1.5,1.1,0.45,0.05,2
Guaraguacu,M4,abr./16,Salvinia_biloba,3,1,1,0.3,1.7,0.9,0.9,0.5,0.1,2
Guaraguacu,M5,abr./16,Alternanthera_limosa,1,1,1,1.8,4.5,2.1,1.25,0.5,0.35,3
Guaraguacu,M5,abr./16,Alternanthera_limosa,2,1,1,13,5.6,4.1,1.4,0.35,0.35,3
Guaraguacu,M5,abr./16,Alternanthera_limosa,3,1,1,8.5,8.4,3.9,2.1,0.9,0.45,3
Guaraguacu,M5,abr./16,Apalanthe_sp,1,2,3,16.5,4.15,0.9,0.15,0,0.1,0
Guaraguacu,M5,abr./16,Apalanthe_sp,2,2,3,17,2.4,1.1,0.05,0,0.1,0
Guaraguacu,M5,abr./16,Apalanthe_sp,3,2,3,34,20,1.2,0.1,0,0.2,0
Guaraguacu,M5,abr./16,Crinum_americanum,1,3,4,21,NA,44.5,3.9,0,NA,1
Guaraguacu,M5,abr./16,Crinum_americanum,2,3,5,72,NA,80,5,0,NA,2
Guaraguacu,M5,abr./16,Crinum_americanum,3,3,4,83,NA,109,6.3,0,NA,1
Guaraguacu,M5,abr./16,Cyperus_giganteus,1,5,4,130,14,223,1.7,NA,NA,0
Guaraguacu,M5,abr./16,Cyperus_giganteus,2,5,4,163,NA,261,1.4,NA,NA,0
Guaraguacu,M5,abr./16,Cyperus_giganteus,3,5,3,240,26,295,1.8,NA,NA,2
Guaraguacu,M5,abr./16,Echinodorus_tenellus,1,1,2,17,3,6,3.4,10,NA,5
Guaraguacu,M5,abr./16,Echinodorus_tenellus,2,1,3,38,NA,19,14,NA,NA,5
Guaraguacu,M5,abr./16,Eichhornia_crassipes,1,1,2,9.5,33,5.5,6,16.5,0.8,4
